entity_id,ly_do_ma,thieu_gi_can_khao_sat
ks-nh-hung-vuong,can_bo_sung,"Chỉ có địa chỉ + điện thoại; cần bổ sung giá phòng, tiện nghi, giờ nhận/trả phòng."
cho-cho-lach,can_bo_sung,Địa chỉ gốc chỉ ghi 'Huyện Chợ Lách' (đơn vị đã bỏ sau 7-2025); cần địa chỉ xã/đường cụ thể và giờ họp chợ. Câu 'lớn nhất ĐBSCL' giữ nguyên từ dữ liệu gốc.
tiem-ba-khoang,can_bo_sung,"Thiếu giờ mở cửa, giá, món cụ thể; rating/review_count bị loại theo quy tắc nguồn không kiểm chứng."
quan-71---am-thuc-chay-xoi-che,can_bo_sung,"Đã bỏ dòng 'Đánh giá 7.5/5' trong description cũ (rating nguồn không kiểm chứng, số còn sai thang điểm)."
pho-tien,can_bo_sung,"Địa chỉ gốc ghi 'thị trấn Mỏ Cày' (đơn vị đã bỏ sau 7-2025) — đã chuyển thành 'khu Mỏ Cày' kèm ngữ cảnh lịch sử; cần tên xã mới, giờ bán, giá."
khach-san-hai-duong-2,can_bo_sung,"Chỉ có địa chỉ + điện thoại; cần giá phòng, tiện nghi, giờ nhận/trả phòng."
ct-quan---mon-nuong-coffee,can_bo_sung,
choosa-damour---coffee-flowers,can_bo_sung,"Đã bỏ dòng 'Đánh giá 9.2/5' trong description cũ (rating nguồn không kiểm chứng, số sai thang điểm)."
bun-bo-hue-19,can_bo_sung,"Đã bỏ 'Đánh giá 9.0/5' (rating nguồn không kiểm chứng); cần giờ bán, giá tô."
jollibee---coopmart-tra-vinh,can_bo_sung,
quan-tuyet---com-ca-ri-ga,can_bo_sung,"Thiếu số nhà, giờ bán, giá."
khach-san-duc-dao,can_bo_sung,"Attribute ocop_star=1 khả nghi (trùng star_rating, khách sạn không phải sản phẩm OCOP) — không dùng; số điện thoại đầu 070 là mã vùng cũ, nên kiểm tra lại."
snowy---kem-cafe,can_bo_sung,
brownie-coffee-and-tea,can_bo_sung,
cheo-xuong-rach-an-binh,can_bo_sung,Admission 'Miễn phí' cho hoạt động chèo xuồng khả nghi — cần xác minh chi phí thuê xuồng và đầu mối tổ chức.
pho-nuong-bien-dong---pham-thai-buong,can_bo_sung,"Thiếu số nhà, giờ bán, giá."
xom-nuong-que-nha,can_bo_sung,
martini-cocktail-tea,can_bo_sung,
khach-san-huynh-thao,can_bo_sung,"Chỉ có địa chỉ + SĐT; thiếu giá, tiện nghi, giờ nhận phòng. Địa chỉ nguồn còn ghi 'TP Bến Tre' theo hành chính cũ."
hoa-su-coffee,can_bo_sung,"Thiếu giờ mở cửa, giá; không dùng rating/review_count theo quy tắc."
pho-lu-hai,can_bo_sung,"Chỉ có địa chỉ + specialty; thiếu giờ bán, giá tô."
ola-tea-house,can_bo_sung,"Thiếu giờ, giá; type đang là 'restaurant' nhưng specialty là trà/đồ uống."
khach-san-thanh-binh-ii,can_bo_sung,Chỉ có địa chỉ + SĐT.
ks-nha-co-cau-ke,can_bo_sung,Không có dữ kiện nào về ngôi nhà cổ ngoài tên gọi — không suy diễn thêm lịch sử.
ohana-milktea-coffee,can_bo_sung,
pho-xanh-garden-coffee,can_bo_sung,"Chưa có dữ kiện xác nhận không gian sân vườn — chỉ nhắc qua tên gọi, có chữ 'gợi'."
banh-cuon-nong---tran-quoc-tuan,can_bo_sung,"Address nguồn ghi 'Trần Quốc Tuẩn' — nghi lỗi chính tả (tên entity ghi 'Trần Quốc Tuấn'). Mô tả cũ có 'Đánh giá: 8.8/5' là dữ liệu lỗi, đã bỏ."
khuc-ban-chieu,can_bo_sung,
duc-thanh-2---quan-lau-de,can_bo_sung,
happy-family-guesthouse,can_bo_sung,Thiếu số nhà/tên đường — address chỉ ghi 'Thành phố Vĩnh Long'.
coco-riverside-lodge,can_bo_sung,Không suy diễn cảnh quan bờ sông từ chữ 'Riverside' trong tên.
khach-san-paris-vinh-long,can_bo_sung,Trường stars ghi 'nhà nghỉ' — dùng làm góc mở bài trung thực.
panda-purple-cafe,can_bo_sung,"Mô tả cũ có 'Đánh giá: 7.5/5' là dữ liệu lỗi, đã bỏ."
full-house-coffee,can_bo_sung,
mai-la---quan-nuong-ngoi,can_bo_sung,
mi-cay-vinh-long,can_bo_sung,Không gán nguồn gốc 'mì cay Hàn Quốc' vì dữ liệu không có.
coco-happy-farm,can_bo_sung,"Address chỉ ghi 'Bến Tre', không có số nhà/xã, không có số điện thoại. Đã bỏ cụm 'kênh rạch sông nước Vĩnh Long' lạc vùng trong summary cũ."
lemais---coffee-tea,can_bo_sung,Chỉ có address + specialty; rating/review_count không dùng theo quy tắc.
nam-son,can_bo_sung,Chỉ có address + specialty chung chung.
song-nuoc-mien-tay-restaurant---am-thuc-mien-tay,ten_rieng,"'Miền Tây' nằm trong tên riêng của quán nên giữ nguyên trong summary, không lặp lại ở phần mô tả. Ngoài ten_rieng, dữ liệu cũng thiếu giờ/giá (đáng bổ sung)."
khach-san-thanh-binh-i,can_bo_sung,Tên gọi 'Khách sạn' nhưng accommodation_type là nhà nghỉ — viết theo attributes.
farmstay-dat-cu-lao,can_bo_sung,Thiếu giá và tiện nghi; câu cảnh báo mùa lấy từ responsible_tips.
he-thong-102-coffee-shop,can_bo_sung,"Address chỉ ghi '2 chi nhánh', không có địa chỉ thật. Description cũ ghi 'Đánh giá: 8.9/5' là dữ liệu lỗi — đã bỏ."
tra-sua-huy,can_bo_sung,
dimsum-quan-nhat---am-thuc-trung-hoa,can_bo_sung,
chau-dong-quan---am-thuc-viet,can_bo_sung,
khach-san-trung-tinh,can_bo_sung,"Bỏ ocop_star=1 (khách sạn không thể có sao OCOP — nghi lỗi ETL); số điện thoại 0703770566 là đầu số cố định cũ, giữ nguyên theo dữ liệu nhưng đáng kiểm tra lại."
green-coffee---tran-dai-nghia,can_bo_sung,Address không có số nhà.
tra-sua-tapi---trung-nu-vuong,can_bo_sung,
hu-tieu---sui-cao,can_bo_sung,
yogurt-garden,can_bo_sung,Address không có số nhà.
quan-vteen---pham-hung,can_bo_sung,
coconut-homestay,can_bo_sung,"Attributes chỉ có địa chỉ + SĐT; cần bổ sung giá, số phòng, tiện nghi."
ba-ba---banh-flan,can_bo_sung,"Đã bỏ 'Đánh giá 8.5/5' (vô lý, nguồn không kiểm chứng). Thiếu giờ mở cửa, giá."
ut-an---vuon-am-thuc,can_bo_sung,"Thiếu giờ mở cửa, khoảng giá, món cụ thể."
lucid-dream---tea-cake,can_bo_sung,"Thiếu giờ mở cửa, khoảng giá."
khach-san-bich-ngoan,can_bo_sung,Chỉ có địa chỉ + SĐT.
hoan-my-homestay,can_bo_sung,Chỉ có địa chỉ + SĐT; cần giá và số phòng.
cafe-de-paris---pham-ngu-lao,can_bo_sung,"Thiếu giờ mở cửa, khoảng giá."
p-long-duc,can_bo_sung,"Cần bổ sung diện tích, dân số, điểm đến trực thuộc."
xa-tap-son,can_bo_sung,"Cần bổ sung diện tích, dân số, điểm đến trực thuộc."
tau-hu-ngon-lanh,can_bo_sung,"Thiếu giờ mở cửa, khoảng giá."
khach-san-anh-hong-mang-thit,can_bo_sung,ocop_star=1 gắn cho khách sạn có vẻ là lỗi dữ liệu (trùng star_rating). Chỉ có địa chỉ + SĐT.
khach-san-tan-thanh-2,can_bo_sung,ocop_star=1 gắn cho khách sạn nghi lỗi dữ liệu (trùng star_rating). Chỉ có địa chỉ + SĐT.
zen-coffee,can_bo_sung,"Thiếu số nhà, giờ mở cửa, khoảng giá."
