entity_id,type,area,url,domain,tier,status,explicit_llm
quyt-duong-cau-ke,craft_village,tra-vinh,,,NO_URL,NO_INDEPENDENT_SOURCE,Y
lang-nghe-banh-trang-my-long,attraction,ben-tre,,,NO_URL,NO_INDEPENDENT_SOURCE,Y
cua-hang-ocop-tra-vinh-trung-tam-xuc-tien-thuong-mai-tinh-tra-vinh,attraction,tra-vinh,,,NO_URL,NO_INDEPENDENT_SOURCE,N
cua-hang-dac-san-mien-tay-tra-vinh-tra-vinh,attraction,tra-vinh,,,NO_URL,NO_INDEPENDENT_SOURCE,N
cho-dem-tra-vinh-pho-di-bo-hung-vuong-tra-vinh,attraction,tra-vinh,,,NO_URL,NO_INDEPENDENT_SOURCE,N
bao-tang-ben-tre,attraction,ben-tre,https://bentretourism.vn/vi/baotangbentre1,bentretourism.vn,TIER2,INDEPENDENT,N
bao-tang-ben-tre,attraction,ben-tre,https://maps.app.goo.gl/H79AmfqVEoX6bbw27,maps.app.goo.gl,OTHER,INDEPENDENT,N
nha-tho-chanh-toa-tra-vinh-tra-vinh,attraction,tra-vinh,,,NO_URL,NO_INDEPENDENT_SOURCE,N
chua-vam-ray,attraction,tra-vinh,,,NO_URL,NO_INDEPENDENT_SOURCE,N
vinh-long-1-day-backpacker,itinerary,vinh-long,,,NO_URL,NO_INDEPENDENT_SOURCE,N
ben-tre-couple-2day-001,itinerary,ben-tre,,,NO_URL,NO_INDEPENDENT_SOURCE,N
tra-vinh-2-ngay-van-hoa-khmer,itinerary,tra-vinh,,,NO_URL,NO_INDEPENDENT_SOURCE,N
itinerary-mien-tay-nhiet-anh-001,itinerary,vinh-long,,,NO_URL,NO_INDEPENDENT_SOURCE,N
itinerary-ok-om-bok-tra-vinh-2024,itinerary,tra-vinh,,,NO_URL,NO_INDEPENDENT_SOURCE,N
ben-tre-vam-ho-birdwatching-t9-t3,itinerary,ben-tre,,,NO_URL,NO_INDEPENDENT_SOURCE,N
cho-noi-tra-on-trai-nghiem-thuyen-hoa-qua,itinerary,vinh-long,,,NO_URL,NO_INDEPENDENT_SOURCE,N
itinerary-cai-mon-tet-ben-tre,itinerary,ben-tre,,,NO_URL,NO_INDEPENDENT_SOURCE,N
ben-tre-1-ngay-con-phuong-tphcm,itinerary,ben-tre,,,NO_URL,NO_INDEPENDENT_SOURCE,N
vl-accessibility-itinerary-001,itinerary,vinh-long,,,NO_URL,NO_INDEPENDENT_SOURCE,N
chua-kompong-ong-met,attraction,tra-vinh,https://dantoc.vietnamtourism.gov.vn/bao-ton-phat-huy-ban-sac-van-hoa-dan-toc-khmer-tra-vinh/,dantoc.vietnamtourism.gov.vn,TIER1,INDEPENDENT,N
thien-vien-truc-lam-tra-vinh,attraction,tra-vinh,https://blog.vexere.com/dia-diem-du-lich-tra-vinh/,blog.vexere.com,TIER3,INDEPENDENT,N
cho-dau-moi-nong-thuy-san-ben-tre,attraction,ben-tre,https://vinhlong.gov.vn/du-khach/%C4%91ia-%C4%91iem-mua-sam,vinhlong.gov.vn,TIER1,INDEPENDENT,N
nha-hang-huong-sen,restaurant,vinh-long,https://vinhlongtourist.vn,vinhlongtourist.vn,OTHER,INDEPENDENT,N
nha-hang-am-thuc-pho,restaurant,vinh-long,https://vinhlongtourist.vn,vinhlongtourist.vn,OTHER,INDEPENDENT,N
nha-hang-sau-tu,restaurant,vinh-long,https://vinhlongtourist.vn,vinhlongtourist.vn,OTHER,INDEPENDENT,N
nha-hang-song-thao,restaurant,vinh-long,https://vinhlongtourist.vn,vinhlongtourist.vn,OTHER,INDEPENDENT,N
nha-hang-thien-tan,restaurant,vinh-long,https://vinhlongtourist.vn,vinhlongtourist.vn,OTHER,INDEPENDENT,N
cua-hang-thuc-pham-an-toan-hoa-sao,attraction,vinh-long,https://vinhlongtourist.vn,vinhlongtourist.vn,OTHER,INDEPENDENT,N
lang-nghe-che-tac-mat-na-khmer-nguyet-hoa,craft_village,tra-vinh,https://vinhlongtourist.vn,vinhlongtourist.vn,OTHER,INDEPENDENT,N
con-bung,nature,ben-tre,https://baovinhlong.com.vn/xa-hoi/du-lich/,baovinhlong.com.vn,TIER2,INDEPENDENT,N
khu-du-lich-sinh-thai-anh-ba-khia,attraction,ben-tre,https://baovinhlong.com.vn/xa-hoi/du-lich/,baovinhlong.com.vn,TIER2,INDEPENDENT,N
sokfarm-tieu-can,attraction,tra-vinh,https://baovinhlong.com.vn/xa-hoi/du-lich/,baovinhlong.com.vn,TIER2,INDEPENDENT,N
chua-van-phuoc-binh-dai,attraction,ben-tre,https://baodongkhoi.vn/,baodongkhoi.vn,TIER2,INDEPENDENT,N
lang-nghe-truyen-thong-phu-le,craft_village,ben-tre,https://baodongkhoi.vn/,baodongkhoi.vn,TIER2,INDEPENDENT,N
chua-vam-ray-wat-samrong,attraction,tra-vinh,https://mytour.vn/,mytour.vn,TIER3,INDEPENDENT,N
cu-lao-tan-quy-cau-ke,nature,tra-vinh,https://mytour.vn/,mytour.vn,TIER3,INDEPENDENT,N
canh-dong-dien-gio-duyen-hai,attraction,tra-vinh,https://mytour.vn/,mytour.vn,TIER3,INDEPENDENT,N
nha-tho-mac-bac-tieu-can,attraction,tra-vinh,https://mytour.vn/,mytour.vn,TIER3,INDEPENDENT,N
mam-bo-hoc-tra-vinh,product,tra-vinh,https://mytour.vn/,mytour.vn,TIER3,INDEPENDENT,N
lang-det-chieu-ca-hom-ham-tan,craft_village,tra-vinh,https://mytour.vn/,mytour.vn,TIER3,INDEPENDENT,N
