entity_id,name,type,area,trust_score,verdict,claim_count,source_status,web_result,hallucination_flags,factual_errors,missing_source
chua-sa-lon-chua-chen-kieu,Chùa Sà Lôn (chùa Chén Kiểu),history,tra-vinh,0,FABRICATED,0,NO_URL,MISMATCH,explicit_llm_source;llm_fingerprint;large_coordinate_cluster_74;approximate_coordinates;missing_images;mentions_outside_area:soc-trang;web_area_mismatch;confirmed_factual_error,1,Y
banh-cong-soc-trang,Bánh cống Sóc Trăng,dish,tra-vinh,20,FABRICATED,1,NO_URL,MISMATCH,source_without_url;approximate_coordinates;missing_images;unverified_claims_1;mentions_outside_area:soc-trang;web_area_mismatch;confirmed_factual_error,1,Y
chien-thang-giong-dua-giong-trom,Di tích lịch sử Chiến thắng Giồng Dứa,history,ben-tre,20,FABRICATED,2,NO_URL,MISMATCH,source_without_url;missing_images;unverified_claims_2;web_area_mismatch;confirmed_factual_error,1,Y
chua-ong-met-botum-vong-sa-som-rong,Chùa Ông Mẹt Botum Vong Sa Som Rong,history,tra-vinh,20,FABRICATED,4,INDEPENDENT_LOW,MATCH,source_not_tier1_2;large_coordinate_cluster_74;approximate_coordinates;missing_images;unverified_claims_4;web_match;confirmed_factual_error,1,N
hu-tieu-my-tho,Hủ tiếu Mỹ Tho,dish,vinh-long,20,FABRICATED,1,NO_URL,MATCH,source_without_url;large_coordinate_cluster_89;approximate_coordinates;missing_images;unverified_claims_1;mentions_outside_area:tien-giang;web_match;confirmed_factual_error,1,Y
khu-bao-ton-lung-binh-hoa-tra-vinh,Khu bảo tồn thiên nhiên Lung Bình Hòa,nature,tra-vinh,20,FABRICATED,2,NO_URL,MISMATCH,source_without_url;approximate_coordinates;missing_images;unverified_claims_2;mentions_outside_area:hau-giang;web_area_mismatch;confirmed_factual_error,1,Y
hu-tieu-sa-dec-chu-tu-gan-cho-phu-hung-ben-tre,Hủ tiếu Sa Đéc Chú Tư (gần chợ Phú Hưng),restaurant,ben-tre,22,UNTRUSTED,1,NO_URL,MISMATCH,source_without_url;large_coordinate_cluster_80;approximate_coordinates;missing_images;unverified_claims_1;mentions_outside_area:dong-thap;manual_p1_suspect,0,Y
lang-nghe-tau-hu-ky-my-hoa,Làng nghề tàu hũ ky Mỹ Hòa,attraction,vinh-long,22,UNTRUSTED,8,NO_URL,MATCH,explicit_llm_source;llm_fingerprint;large_coordinate_cluster_255;approximate_coordinates;missing_images;unverified_claims_8;mentions_outside_area:can-tho;web_match,0,Y
itinerary-tuan-trang-mat-mien-tay-4n3d,Tuần trăng mật Miền Tây – 4 ngày 3 đêm,itinerary,,24,UNTRUSTED,5,NO_URL,MISMATCH,source_without_url;llm_fingerprint;missing_coordinates;missing_images;unverified_claims_5;manual_p1_suspect,0,Y
chom-chom-con-tan-quy,Chôm chôm Cồn Tân Quy,product,tra-vinh,25,UNTRUSTED,3,NO_URL,AMBIGUOUS,explicit_llm_source;llm_fingerprint;large_coordinate_cluster_53;approximate_coordinates;missing_images;unverified_claims_3,0,Y
thanh-that-cao-dai-vinh-long,Thánh thất Cao Đài Vĩnh Long,history,vinh-long,25,UNTRUSTED,3,NO_URL,AMBIGUOUS,explicit_llm_source;llm_fingerprint;large_coordinate_cluster_89;approximate_coordinates;missing_images;unverified_claims_3,0,Y
vung-khoai-lang-binh-tan,Vùng khoai lang Bình Tân,craft_village,vinh-long,26,UNTRUSTED,0,NO_URL,MATCH,explicit_llm_source;llm_fingerprint;large_coordinate_cluster_89;approximate_coordinates;missing_images;mentions_outside_area:hcm;web_match,0,Y
