entity_id,entity_name,type,area,query,result,top_title,top_url,top_snippet,domain,tier,error
backpacker-mien-tay-3ngay-500k,Backpacker tiết kiệm 3 ngày dưới 500k/ngày - Miền Tây,itinerary,,Backpacker tiết kiệm 3 ngày dưới 500k ngày Miền Tây None,MISMATCH,Tour về Miền Tây 4 ngày 3 đêm – 2 ngày đầu tại An Giang,https://tourmientay.vn/blogs/tour-ve-mien-tay-4-ngay-3-dem-2-ngay-dau-tai-an-giang-44,"Nếu bạn đang cảm thấy nhàm chán cuộc sống nơi thành thị phồn hoa hiện đại thì có lẽ bạn sẽ cần 1 tour về Miền Tây 4 ngày 3 đêm, cụ thể hơn là du lịch Cần Thơ – An Giang để một lần đặt chân đến vùng đất sông nước đầy thú vị này. Dưới đây là lịch trình cùng gợi ý một vài địa điểm nổi...",tourmientay.vn,OTHER,
banh-cong-soc-trang,Bánh cống Sóc Trăng,dish,tra-vinh,Bánh cống Sóc Trăng Trà Vinh đặc sản OCOP,MISMATCH,Đặc Sản Sóc Trăng - Những Món Quà Ẩm Thực Độc Đáo Khó Quên,https://tripi.vn/blog/vi/du-lich/dac-san-soc-trang-nhung-mon-qua-am-thuc-doc-dao-kho-quen-tripi,"Bánh Cóng Sóc Trăng - Món ngon truyền thống đậm đà hương vị miền Tây.Hủ tíu cà ri, đặc sản của Vĩnh Châu - Sóc Trăng, được chế biến từ thịt vịt xiêm thơm ngon và nước dùng cà ri vàng ươm từ nghệ.",tripi.vn,OTHER,
banh-mi-sau-hoa-ben-tre,Bánh mì Sáu Hoà,restaurant,ben-tre,Bánh mì Sáu Hoà Bến Tre địa chỉ,MISMATCH,Trang chủ - Bánh Mì Huynh Hoa,https://banhmihuynhhoa.vn/,"Không chỉ thu hút người dân Sài Gòn, người sành ăn, cộng đồng food blogger trên toàn thế giới, bánh mì Huynh Hoa còn được báo chí nước ngoài ca ngợi như một món ăn đường phố không thể bỏ qua khi đến thành phố này.",banhmihuynhhoa.vn,OTHER,
banh-trang-nem-cu-lao-may,Bánh tráng nem Cù Lao Mây,product,vinh-long,Bánh tráng nem Cù Lao Mây Vĩnh Long đặc sản OCOP,MISMATCH,Rộn ràng làng bánh tráng Cù lao Mây trăm năm tuổi | Báo Sài Gòn...,https://dttc.sggp.org.vn/ron-rang-lang-banh-trang-cu-lao-may-tram-nam-tuoi-post131500.html,Lò bánh tráng Tuyết Mai là một trong những cơ sở có nhiều năm kinh nghiệm sản xuất bánh tráng nhúng và bánh nem ở làng nghề Cù lao Mây.,dttc.sggp.org.vn,TIER2,
ben-xe-mien-tay-hcm,Bến xe Miền Tây,facility,,Bến xe Miền Tây None địa chỉ,MISMATCH,"Bến Xe Miền Tây ở đâu? Địa chỉ, cách đi, số điện thoại và ...",https://paracelresort.com/ben-xe-mien-tay-o-dau-dia-chi-cach-di-so-dien-thoai-va-nhung-dieu-can-biet-truoc-khi-den/,"1 day ago · Bến xe Miền Tây nằm tại 395 Kinh Dương Vương, phường An Lạc, quận Bình Tân, TP.HCM. Đây là bến xe khách lớn phục vụ các tuyến đi về khu vực miền Tây Nam Bộ và một số tỉnh lân cận, đồng thời là điểm trung chuyển quen thuộc của rất nhiều hành khách từ ...",paracelresort.com,OTHER,
bun-nuoc-leo-cho-ba-tri-ben-tre,Bún nước lèo chợ Ba Tri,restaurant,ben-tre,Bún nước lèo chợ Ba Tri Bến Tre địa chỉ,MISMATCH,Bún nước lèo - một đặc sản quen thuộc của các tỉnh miền Tây nhưng...,https://cl.pinterest.com/pin/bn-nc-lo-mt-c-sn-quen-thuc-ca-cc-tnh-min-ty-nhng-vn-b-nhiu-ngi-lm-tng-l-bn-mm--886294401661397928/,"Cách Làm Bún Nước Lèo Sóc Trăng đơn giản, mang đậm nét miền Tây. Bún nước lèo Sóc Trăng với vị ngọt ngon của cá đồng, mùi mắm thơm lừng đặc trưng, đặc biệt là..",cl.pinterest.com,OTHER,
cha-lua-thanh-cong,Chả lụa Thành Công,product,vinh-long,Chả lụa Thành Công Vĩnh Long đặc sản OCOP,MISMATCH,Sóc Trăng: Đa dạng sản phẩm OCOP cung ứng dịp tết Nguyên đán,https://tintucmientay.baoangiang.com.vn/soc-trang-da-dang-san-pham-ocop-cung-ung-dip-tet-nguyen-dan-a386245.html,"Do sản phẩm chả lụa, pate sản xuất trong ngày là có nên tôi luôn chủ động được sản lượng để lúc nào hàng hóa cũng dồi dào, sẵn sàng đáp ứng nhu cầu của khách hàng trong suốt những ngày Tết”, chị Kim Yến cho biết thêm.",tintucmientay.baoangiang.com.vn,OTHER,
chien-thang-giong-dua-giong-trom,Di tích lịch sử Chiến thắng Giồng Dứa,history,ben-tre,Di tích lịch sử Chiến thắng Giồng Dứa Bến Tre di tích lịch sử,MISMATCH,Top 20+ di tích lịch sử ở Tiền Giang nên ghé thăm một lần,https://tiengiangtoplist.vn/top-20-di-tich-lich-su-o-tien-giang-nen-ghe-tham-mot-lan/,Chien-thang-giong-dua-1-tiengiangtoplist. Chiến thắng Giồng Dứa.Chiến thắng Cổ Cò. Khi di tích lịch sử được xây dựng với tổng diện tích lên đến 5.000m.,tiengiangtoplist.vn,OTHER,
chua-giac-linh,Chùa Giác Linh,history,tra-vinh,Chùa Giác Linh Trà Vinh di tích lịch sử,MISMATCH,Di tích chùa Giác Linh | Du Lịch Cần Thơ,https://dulichcantho.vn/kham-pha-diem-den/tra-vinh/di-tich-chua-giac-linh-2171007.html,Chùa Giác linh được Bộ Văn hóa Thông tin công nhận là di tích lịch sử văn hóa cấp quốc gia theo Quyết định số 95-1998-QĐ/BVHTT ngày 24/01/1998.,dulichcantho.vn,OTHER,
chua-khai-tuong,Chùa Khải Tường,history,ben-tre,Chùa Khải Tường Bến Tre di tích lịch sử,MISMATCH,Chùa Khải Tường – Wikipedia tiếng Việt,https://vi.wikipedia.org/wiki/Chùa_Khải_Tường,"Chùa Khải Tường là một ngôi cổ tự, trước đây tọa lạc trên một gò cao tại ấp Tân Lộc, thuộc Gia Định xưa; nay ở khoảng khu vực Bảo tàng Chứng tích chiến tranh, số 28, Võ Văn Tần, Quận 3, Thành phố Hồ Chí Minh, Việt Nam. [1]",vi.wikipedia.org,TIER1,
