year,date,province,match_type,confidence,themes,assets,title,url
"2026","2026-06-15","Trà Vinh","direct_lead","high","Du lịch chung/chiến lược; Sông nước - miệt vườn; Biển - sinh thái ven biển","Cù lao An Bình - Long Hồ; Ba Động - Trường Long Hòa","Trường Long Hòa phát huy lợi thế phát triển kinh tế biển","https://baovinhlong.com.vn/kinh-te/202606/truong-long-hoa-phat-huy-loi-the-phat-trien-kinh-te-bien-62d49fc/"
"2026","2026-06-14","Bến Tre","direct_title","high","Du lịch chung/chiến lược; Sông nước - miệt vườn; Làng nghề - di sản nghề; Ẩm thực - đặc sản","Bến Tre - xứ Dừa/An Hội","Khai mạc Tuần lễ Văn hóa, Du lịch, Ẩm thực bánh dân gian Nam Bộ - Vị ngon xứ dừa phường An Hội","https://baovinhlong.com.vn/kinh-te/thuong-mai-dich-vu/202606/khai-mac-tuan-le-van-hoa-du-lich-am-thuc-banh-dan-gian-nam-bo-vi-ngon-xu-dua-phuong-an-hoi-ce310af/"
"2026","2026-06-13","Vĩnh Long; Bến Tre","destination_event","medium","Du lịch chung/chiến lược; Sông nước - miệt vườn; Ẩm thực - đặc sản","Bến Tre - xứ Dừa/An Hội","Khai mạc Tuần lễ Văn hóa - Ẩm thực “Bến Tre Tết Đoan Ngọ xứ Dừa” năm 2026","https://baovinhlong.com.vn/nhip-song-dong-bang/202606/khai-mac-tuan-le-van-hoa-am-thuc-ben-tre-tet-doan-ngo-xu-dua-nam-2026-78c0d4f/"
"2026","2026-06-12","Vĩnh Long","tourism_category","high","Du lịch chung/chiến lược; Sông nước - miệt vườn","","Khai trương Vietravel chi nhánh Vĩnh Long","https://baovinhlong.com.vn/xa-hoi/du-lich/202606/khai-truong-vietravel-chi-nhanh-vinh-long-9661c6a/"
"2026","2026-06-10","Trà Vinh","destination_event","medium","Sông nước - miệt vườn; Văn hóa Khmer - lễ hội","Ao Bà Om - Chùa Hang","Ngắm đàn cò trắng tạo hình sống động ở chùa Hang","https://baovinhlong.com.vn/phong-su-anh/202606/chum-anh-ngam-dan-co-trang-tao-hinh-song-dong-o-chua-hang-24a6cff/"
"2026","2026-06-01","Vĩnh Long","direct_lead","high","Sông nước - miệt vườn; Di tích - bảo tàng - tâm linh","","Rộn ràng lễ hội Hạ Điền – Kỳ Yên","https://baovinhlong.com.vn/van-hoa-giai-tri/202606/ron-rang-le-hoi-ha-dien-ky-yen-40a25b5/"
"2026","2026-05-28","Vĩnh Long","tourism_category","high","Du lịch chung/chiến lược; Sông nước - miệt vườn; Di tích - bảo tàng - tâm linh","","Tạo nền tảng số phát triển văn hóa, thể thao và du lịch","https://baovinhlong.com.vn/xa-hoi/du-lich/202605/tao-nen-tang-so-phat-trien-van-hoa-the-thao-va-du-lich-2cb4abd/"
"2026","2026-05-24","Bến Tre","tourism_category","high","Du lịch chung/chiến lược; Sông nước - miệt vườn; Cộng đồng - nông thôn","Bến Tre - xứ Dừa/An Hội","Liên kết khai thác tiềm năng, tạo đà phát triển du lịch","https://baovinhlong.com.vn/xa-hoi/du-lich/202605/lien-ket-khai-thac-tiem-nang-tao-da-phat-trien-du-lich-53f40ac/"
"2026","2026-05-22","Trà Vinh","direct_lead","high","Du lịch chung/chiến lược; Sông nước - miệt vườn; Biển - sinh thái ven biển","Ba Động - Trường Long Hòa","Bình minh Ba Động- Bản giao hưởng ánh sáng của biển miền Tây","https://baovinhlong.com.vn/multimedia/202605/binh-minh-ba-dong-ban-giao-huong-anh-sang-cua-bien-mien-tay-8433735/"
"2026","2026-05-17","Vĩnh Long","direct_lead","high","Du lịch chung/chiến lược; Sông nước - miệt vườn; Làng nghề - di sản nghề","","Kỳ 3: Làng nghề “thức giấc” bên những dòng sông","https://baovinhlong.com.vn/van-hoa-giai-tri/202605/khai-mo-tiem-nang-phat-trien-cong-nghiep-van-hoa-ky-3-lang-nghe-thuc-giac-ben-nhung-dong-song-6526ce6/"
"2026","2026-05-15","Vĩnh Long","direct_title","high","Du lịch chung/chiến lược; Sông nước - miệt vườn","","Kỳ 2: Phát triển du lịch gắn với giữ gìn bản sắc địa phương","https://baovinhlong.com.vn/van-hoa-giai-tri/202605/khai-mo-tiem-nang-phat-trien-cong-nghiep-van-hoa-ky-2-phat-trien-du-lich-gan-voi-giu-gin-ban-sac-dia-phuong-3f609a6/"
"2026","2026-05-15","Vĩnh Long; Bến Tre","tourism_category","high","Du lịch chung/chiến lược; Biển - sinh thái ven biển","Bình Đại/Ba Tri","Ra mắt Chi hội du lịch Bình Đại","https://baovinhlong.com.vn/xa-hoi/du-lich/202605/ra-mat-chi-hoi-du-lich-binh-dai-5ac5d6b/"
"2026","2026-05-14","Vĩnh Long; Trà Vinh","direct_title","high","Du lịch chung/chiến lược; Sông nước - miệt vườn; Biển - sinh thái ven biển","Cù lao An Bình - Long Hồ; Ba Động - Trường Long Hòa","Trường Long Hòa tập trung khai thác tiềm năng du lịch và kinh tế biển","https://baovinhlong.com.vn/kinh-te/202605/truong-long-hoa-tap-trung-khai-thac-tiem-nang-du-lich-va-kinh-te-bien-108088d/"
"2026","2026-05-10","Vĩnh Long; Trà Vinh","destination_event","medium","Làng nghề - di sản nghề; Văn hóa Khmer - lễ hội; Ẩm thực - đặc sản; Di tích - bảo tàng - tâm linh","Dừa sáp Cầu Kè","Một ngày ở “thủ phủ” dừa sáp Cầu Kè","https://baovinhlong.com.vn/van-hoa-giai-tri/202605/mot-ngay-o-thu-phu-dua-sap-cau-ke-5a63907/"
"2026","2026-05-07","Vĩnh Long; Trà Vinh","destination_event","medium","Sông nước - miệt vườn; Biển - sinh thái ven biển","Cù lao An Bình - Long Hồ; Ba Động - Trường Long Hòa","Hãng máy ảnh Canon chọn biển Ba Động tổ chức hội thảo, chia sẻ về kiến thức nhiếp ảnh","https://baovinhlong.com.vn/van-hoa-giai-tri/202605/hang-may-anh-canon-chon-bien-ba-dong-to-chuc-hoi-thaochia-se-ve-kien-thuc-nhiep-anh-d191781/"
"2026","2026-05-07","Vĩnh Long; Trà Vinh","direct_title","high","Du lịch chung/chiến lược; Văn hóa Khmer - lễ hội; Di tích - bảo tàng - tâm linh","Ao Bà Om - Chùa Hang","Kết nối, gặp gỡ gần 40 doanh nghiệp, hội viên du lịch khu vực Trà Vinh","https://baovinhlong.com.vn/van-hoa-giai-tri/202605/ket-noi-gap-go-gan-40-doanh-nghiep-hoi-vien-du-lich-khu-vuc-tra-vinh-c3f3c46/"
"2026","2026-05-05","Vĩnh Long; Trà Vinh; Bến Tre","tourism_category","high","Du lịch chung/chiến lược; Sông nước - miệt vườn; Di tích - bảo tàng - tâm linh","","Điểm đến “An toàn- thân thiện- chất lượng”","https://baovinhlong.com.vn/xa-hoi/du-lich/202605/diem-den-an-toan-than-thien-chat-luong-9c8410c/"
