cluster,asset,official,press,academic,market,spatial,visual,priority
"Vĩnh Long","Cù lao An Bình - Long Hồ","Có","Cao","Có nghiên cứu trải nghiệm/sinh thái","Có mô tả Vietravel nhưng ít tour khả dụng riêng","Rất gần trung tâm Vĩnh Long; hợp nửa ngày/1 ngày","Sông nước/vườn/homestay","A"
"Vĩnh Long","Mang Thít - gạch gốm đỏ","Có","Rất cao","Có nghiên cứu di sản-sản phẩm","Có trong tuyến Saigontourist liên vùng","~25 km từ trung tâm Vĩnh Long","Rất mạnh, biểu tượng hình ảnh","A+"
"Vĩnh Long","Văn Thánh Miếu","Có","Trung bình","Gián tiếp di tích/văn hóa","Yếu","Gần trung tâm","Trang nghiêm, cây cổ thụ/kiến trúc","B+"
"Vĩnh Long","Lăng Ông Trà Ôn","Có PDF","Trung bình theo mùa Tết","Văn hóa tín ngưỡng Nam Bộ","Yếu","~46 km từ trung tâm Vĩnh Long","Lễ hội/tâm linh","A-"
"Trà Vinh","Ao Bà Om - Chùa Âng - Bảo tàng Khmer","Có","Cao","Có nền Khmer/lễ hội","Có trong tour Saigontourist","Gần trung tâm Trà Vinh","Rất mạnh: ao, cổ thụ, chùa Khmer","A+"
"Trà Vinh","Chùa Hang/Kompong Chrây","Gián tiếp","Trung bình","Khmer/di tích","Trung bình","Gần Ao Bà Om","Mạnh: chim/cò/chùa/rừng","A"
"Trà Vinh","Biển Ba Động - Trường Long Hòa","Có","Cao theo Tết/hè","Ít","Có Vietnam Airlines/cẩm nang","~49 km từ Trà Vinh; điểm ra biển","Mạnh: bình minh, biển phù sa, cung đường","A"
"Trà Vinh","Dừa sáp Cầu Kè/Bảo tàng Dừa sáp","Có PDF/công nhận","Cao 2025","Gián tiếp đặc sản-văn hóa","Có trong tuyến Saigontourist","Nối Vĩnh Long-Trà Vinh","Tốt nếu kể bằng con người/sản vật","A"
"Trà Vinh","Ok Om Bok/Nguyên Tiêu/Vu lan Thắng hội","Có","Rất cao theo mùa","Mạnh","Tốt nếu bán lịch lễ hội","Gắn Ao Bà Om/Trà Cú/Cầu Kè","Rất mạnh: lễ hội, nghi thức, ghe Ngo","A+"
"Bến Tre","Cồn Phụng/Đạo Dừa","Có","Cao","Ít","Rất mạnh: tour bán lẻ","~12 km từ Bến Tre, cửa ngõ Mỹ Tho","Mạnh: xuồng, kẹo dừa, đờn ca tài tử","A"
"Bến Tre","Phú Túc - Lan Vương - Cồn Phụng","Gián tiếp","Cao trong corpus","Ít","Có điểm bán địa phương","Cụm ven Bến Tre/Châu Thành","Mạnh cho gia đình/nhóm","A-"
"Bến Tre","Chợ Lách/Cái Mơn hoa kiểng","Có","Cao","Ít","Có cẩm nang/seasonal","Nối Bến Tre - Vĩnh Long","Rất mạnh mùa Tết","A"
"Bến Tre","An Hội/xứ Dừa/ẩm thực","Gián tiếp","Cao trong corpus","Ít","Mạnh với khách nội địa","Trung tâm Bến Tre","Mạnh: food, festival, đô thị xứ Dừa","A-"
"Liên vùng","Tuyến Bến Tre - Trà Vinh - Vĩnh Long","Có chủ trương rải rác","Rất cao","Hỗ trợ bằng khung liên kết/bảo tồn","Đã có tour Saigontourist","Khả thi 3N2Đ; cần tối ưu chặng","Rất đa dạng","A+"
