asset_id,province,category,name,priority,cultural_value,target_segments,suggested_duration,season,role
"A001","Vĩnh Long","Sông nước - miệt vườn","Cù lao An Bình","A+","Nhà vườn, homestay, sông Tiền, trải nghiệm chậm","Gia đình; quốc tế; học sinh; cuối tuần","Nửa ngày-1 đêm","Quanh năm; mùa trái cây","core_anchor"
"A002","Vĩnh Long","Sông nước - miệt vườn","Long Hồ","A","Cửa ngõ An Bình, di tích, vườn, tăng khách quý I","Gia đình; học sinh","Nửa ngày","Quanh năm","support_anchor"
"A003","Vĩnh Long","Làng nghề - di sản nghề","Khu lò gạch, gốm Mang Thít","A+","Di sản nghề gốm đỏ, cảnh quan lò gạch, kinh tế sáng tạo","Nhiếp ảnh; học sinh; quốc tế; sáng tạo","Nửa ngày-1 ngày","Sáng/chiều; festival","core_anchor"
"A004","Vĩnh Long","Làng nghề - di sản nghề","Đường gốm đỏ/không gian gốm đêm","A","Biểu tượng thị giác, chụp ảnh, kể chuyện vật liệu","Nhiếp ảnh; khách trẻ","1-2 giờ","Chiều tối; sự kiện","visual_anchor"
"A005","Vĩnh Long","Di tích - giáo dục","Văn Thánh Miếu","A-","Nho học Nam Bộ, lịch sử đô thị, lễ Xuân Đinh","Học sinh; văn hóa; nguồn cội","1-2 giờ","Lễ Xuân Đinh; quanh năm","culture_anchor"
"A006","Vĩnh Long","Di tích - tâm linh","Lăng Ông Trà Ôn","A","Giao thoa Việt-Hoa-Khmer, lễ giỗ đầu năm, hát bội","Tâm linh; lễ hội; diaspora","Nửa ngày","Mùng 3-4 tháng Giêng","festival_anchor"
"A007","Vĩnh Long","Di sản - bảo tàng","Bảo tàng Nông nghiệp ĐBSCL/ý tưởng di sản đương đại","B+","Không gian diễn giải nông nghiệp, gốm, sông nước","Học sinh; nghiên cứu; gia đình","1-2 giờ","Khi hoàn thiện sản phẩm","development_asset"
"A008","Vĩnh Long","Ẩm thực","Bánh tét Trà Cuôn","A-","Đặc sản lễ Tết, trải nghiệm gói bánh","Foodie; gia đình; học sinh","1-2 giờ","Tết; hội chợ xuân","food_asset"
"A009","Vĩnh Long","Ẩm thực","Bản đồ ẩm thực Vĩnh Long","A-","Đặc sản vườn/sông nước, làng nghề thực phẩm","Foodie; nội địa","Nửa ngày","Quanh năm","food_asset"
"A010","Vĩnh Long","Sông nước","Sông Cổ Chiên","A","Trục kể chuyện sông, tuyến đường thủy, kết nối Trà Vinh/Bến Tre","Quốc tế; chậm; nhiếp ảnh","Nửa ngày-2 ngày","Mùa khô; hoàng hôn","route_anchor"
"A011","Vĩnh Long","Cộng đồng - nông thôn","Nhơn Phú du lịch gắn nông nghiệp","B+","Nông nghiệp, gốm/Mang Thít, cộng đồng","Nội địa; học sinh","Nửa ngày","Quanh năm","emerging_asset"
"A012","Vĩnh Long","Cộng đồng - nông thôn","Hòa Minh du lịch cộng đồng","B+","Nông thôn mới kiểu mẫu, sông/cồn, cộng đồng","Nội địa; học sinh","Nửa ngày","Quanh năm","emerging_asset"
"A013","Vĩnh Long","Di tích/lễ hội","Lễ Xuân Đinh Văn Thánh Miếu","A-","Lễ văn hóa giáo dục, tôn vinh truyền thống học hành","Học sinh; văn hóa","1-2 giờ","Theo lịch lễ","festival_asset"
"A014","Vĩnh Long","Lễ hội Nam Bộ","Kỳ Yên đình làng","B+","Lễ hội làng, thỉnh sắc, chánh tế, hát bội","Văn hóa; tâm linh","1-2 giờ","Theo lịch đình","festival_asset"
"A015","Vĩnh Long","Làng nghề","Festival Gạch gốm đỏ","A","Sự kiện hóa di sản nghề, truyền thông mạnh","Nhiếp ảnh; truyền thông; nội địa","1 ngày","Theo lịch festival","event_anchor"
"A016","Vĩnh Long","Sông nước","Chợ/đời sống Cái Vồn - sông Hậu","B+","Đặc sản, nhịp sông, cửa ngõ Bình Minh/Cái Vồn","Foodie; nội địa","1-2 giờ","Quanh năm","support_asset"
"A017","Vĩnh Long","Tuyến","Vĩnh Long - Cần Thơ gateway","B+","Cần Thơ là cửa ngõ khách và sân bay/đô thị sông nước","MICE nhỏ; quốc tế","1-2 ngày","Quanh năm","gateway"
"A018","Vĩnh Long","Tuyến","Vĩnh Long - Cầu Kè - Trà Vinh","A","Trục dừa sáp/Khmer/sông Cổ Chiên","Văn hóa; food; học sinh","1-2 ngày","Quanh năm","route_anchor"
"A019","Trà Vinh","Khmer - danh thắng","Ao Bà Om","A+","Danh thắng Khmer, cổ thụ, truyền thuyết, lễ hội","Văn hóa; gia đình; nhiếp ảnh","1-2 giờ","Ok Om Bok; du xuân; quanh năm","core_anchor"
"A020","Trà Vinh","Khmer - tôn giáo","Chùa Âng","A","Chùa Khmer trong cụm Ao Bà Om","Văn hóa; tâm linh; quốc tế","1 giờ","Quanh năm; lễ hội","culture_anchor"
"A021","Trà Vinh","Khmer - bảo tàng","Bảo tàng Văn hóa Khmer","A","Diễn giải văn hóa Khmer, bổ sung tri thức cho tour","Học sinh; quốc tế; văn hóa","1 giờ","Quanh năm","interpretation_anchor"
"A022","Trà Vinh","Khmer - sinh thái","Chùa Hang/Kompong Chrây","A","Chùa Khmer, chim/cò, sinh thái tôn giáo","Nhiếp ảnh; văn hóa; sinh thái","1-2 giờ","Sáng/chiều","visual_anchor"
"A023","Trà Vinh","Biển","Biển Ba Động","A","Biển phù sa miền Tây, bình minh, hải sản, du xuân","Gia đình; ảnh; hè","Nửa ngày","Tết; hè; bình minh","sea_anchor"
"A024","Trà Vinh","Biển/kinh tế biển","Trường Long Hòa - Duyên Hải","A-","Cửa biển, phát triển kinh tế biển và du lịch","Nội địa; ảnh; nghiên cứu","Nửa ngày","Mùa khô","emerging_asset"
"A025","Trà Vinh","Đặc sản/bảo tàng","Bảo tàng Dừa sáp Trà Vinh","A","Câu chuyện đặc sản, bảo tàng, điểm du lịch tiêu biểu ĐBSCL","Foodie; học sinh; quốc tế","1-2 giờ","Quanh năm","food_culture_anchor"
"A026","Trà Vinh","Đặc sản/nông nghiệp","Cầu Kè dừa sáp","A","Thủ phủ dừa sáp, vườn, sản phẩm chế biến","Foodie; gia đình","Nửa ngày","Quanh năm","food_asset"
"A027","Trà Vinh","Lễ hội Khmer","Ok Om Bok","A+","Cúng Trăng, ghe Ngo, biểu diễn, ẩm thực, hội chợ","Lễ hội; quốc tế; nội địa","1-2 ngày","Rằm tháng 10 âm lịch","festival_anchor"
"A028","Trà Vinh","Lễ hội đa văn hóa","Nguyên Tiêu Trà Cú/Đại An","A","Di sản lễ hội đầu năm, giao thoa cộng đồng","Tâm linh; văn hóa; du xuân","Nửa ngày-1 ngày","Rằm tháng Giêng","festival_anchor"
"A029","Trà Vinh","Lễ hội/tâm linh","Vu lan Thắng hội Cầu Kè","A-","Lễ hội, hội chợ, trái cây, ẩm thực","Foodie; tâm linh; nội địa","Nửa ngày-1 ngày","Tháng 7 âm lịch","festival_asset"
"A030","Trà Vinh","Diễn xướng Khmer","Rô-băm","A-","Sân khấu Khmer, giá trị phi vật thể","Văn hóa; học sinh; show tối","45-90 phút","Theo lịch diễn/lễ hội","intangible_asset"
"A031","Trà Vinh","Âm nhạc Khmer","Nhạc ngũ âm","A-","Âm nhạc nghi lễ Khmer, lễ hội/chùa","Văn hóa; học sinh","30-60 phút","Theo lịch lễ","intangible_asset"
"A032","Trà Vinh","Ẩm thực Khmer","Bún nước lèo/ẩm thực Khmer","A-","Ẩm thực bản địa, nền hương vị Khmer Nam Bộ","Foodie; quốc tế","1-2 giờ","Quanh năm","food_asset"
"A033","Trà Vinh","Sông/cồn","Cồn Chim/Cồn Hô","B+","Cồn sinh thái/cộng đồng trong không gian Trà Vinh","Sinh thái; cộng đồng","Nửa ngày","Quanh năm","emerging_asset"
"A034","Trà Vinh","Tuyến","Ao Bà Om - Chùa Hang - Ba Động","A","Tuyến văn hóa Khmer + biển trong ngày dài","Nội địa; quốc tế","1 ngày","Quanh năm","route_anchor"
"A035","Trà Vinh","Tuyến","Cầu Kè - Đông sông Hậu","A-","Dừa sáp, lễ hội, sông nước","Foodie; lễ hội","1 ngày","Vu lan; quanh năm","route_anchor"
"A036","Trà Vinh","Di sản/tôn giáo","Mạng lưới chùa Khmer","A-","Chùa là lõi bản sắc cảnh quan-văn hóa Trà Vinh","Văn hóa; tâm linh","Nửa ngày-1 ngày","Quanh năm","culture_network"
"A037","Bến Tre","Cồn/sông nước","Cồn Phụng/Đạo Dừa","A+","Cồn, kẹo dừa, Đạo Dừa, xuồng, đờn ca tài tử","Quốc tế; tour ngày; gia đình","Nửa ngày","Quanh năm","core_anchor"
"A038","Bến Tre","Cồn/sông nước","Cồn Quy/Cồn miền sông Tiền","B+","Cồn, trái cây, sông nước, đờn ca tài tử","Tour ngày; gia đình","1-2 giờ","Quanh năm","support_asset"
"A039","Bến Tre","Du lịch xanh","Phú Túc","A","Cộng đồng, du lịch xanh, sông nước xứ Dừa","Gia đình; nội địa; cộng đồng","Nửa ngày","Quanh năm","emerging_anchor"
"A040","Bến Tre","Trải nghiệm nghề","Lan Vương/Xóm nghề Lan Vương","A","Workshop nghề, ẩm thực, trò chơi, xứ Dừa","Gia đình; nhóm; team building","Nửa ngày","Lễ/hè/cuối tuần","experience_anchor"
"A041","Bến Tre","Đô thị/ẩm thực","An Hội - Bến Tre city","A-","Sự kiện ẩm thực, công viên, xứ Dừa đô thị","Foodie; nội địa; sự kiện","2-4 giờ","Tết Đoan Ngọ; sự kiện","event_anchor"
"A042","Bến Tre","Ẩm thực/lễ hội","Tuần lễ Văn hóa - Du lịch - Ẩm thực xứ Dừa","A","Bánh dân gian, dừa, festival food","Foodie; gia đình","1 buổi tối-1 ngày","Tết Đoan Ngọ/hè","food_event_anchor"
"A043","Bến Tre","Làng nghề/nông nghiệp","Chợ Lách - Cái Mơn","A+","Hoa kiểng, cây giống, làng nghề nông nghiệp","Gia đình; học sinh; nhiếp ảnh","Nửa ngày-1 ngày","Trước Tết; quanh năm","core_anchor"
