entity_id,type,area,claim_type,claim_text,verifiable,verified,source
quyt-duong-cau-ke,craft_village,tra-vinh,named_fact,"Quýt đường Cầu Kè Vùng nước ngọt ven sông Hậu ở Cầu Kè cho ra giống quýt đường Long Trị vỏ mỏng, ngọt thanh, mọng nước — đặc sản trái cây của Trà Vinh.",Y,ENTITY_FOUND_NOT_CLAIM_VERIFIED,https://www.2lua.vn/article/san-pham-mang-cut-quyt-duong-tra-vinh-duoc-chung-nhan-vietgap-20883.html
quyt-duong-cau-ke,craft_village,tra-vinh,named_fact,"Vùng nước ngọt ven sông Hậu ở Cầu Kè cho ra giống quýt đường Long Trị vỏ mỏng, ngọt thanh, mọng nước — đặc sản trái cây của Trà Vinh.",Y,ENTITY_FOUND_NOT_CLAIM_VERIFIED,https://www.2lua.vn/article/san-pham-mang-cut-quyt-duong-tra-vinh-duoc-chung-nhan-vietgap-20883.html
quyt-duong-cau-ke,craft_village,tra-vinh,measurement+named_fact,Hợp tác xã Thuận Phú ở xã Bình Phú đã khôi phục hơn 100 ha giống quýt này theo chuẩn VietGAP và canh tác hữu cơ.,Y,ENTITY_FOUND_NOT_CLAIM_VERIFIED,https://www.2lua.vn/article/san-pham-mang-cut-quyt-duong-tra-vinh-duoc-chung-nhan-vietgap-20883.html
quyt-duong-cau-ke,craft_village,tra-vinh,season/date,"Cây cho trái hai vụ, xuân từ tháng 2 đến tháng 4 và thu từ tháng 8 đến tháng 10.",Y,ENTITY_FOUND_NOT_CLAIM_VERIFIED,https://www.2lua.vn/article/san-pham-mang-cut-quyt-duong-tra-vinh-duoc-chung-nhan-vietgap-20883.html
cua-hang-ocop-tra-vinh-trung-tam-xuc-tien-thuong-mai-tinh-tra-vinh,attraction,tra-vinh,measurement+named_fact+ocop,"Cửa hàng OCOP Trà Vinh (Trung tâm Xúc tiến Thương mại tỉnh) Điểm trưng bày và bán lẻ các sản phẩm OCOP đạt chuẩn 3–5 sao của tỉnh Trà Vinh, đặt tại Trung tâm Xúc tiến Thương mại tỉnh trên đường Lê Lợi.",Y,ENTITY_FOUND_NOT_CLAIM_VERIFIED,https://www.facebook.com/people/Cửa-hàng-OCOP-đặc-sản-Trà-Vinh/100087870463216/
cua-hang-ocop-tra-vinh-trung-tam-xuc-tien-thuong-mai-tinh-tra-vinh,attraction,tra-vinh,measurement+named_fact+ocop,"Điểm trưng bày và bán lẻ các sản phẩm OCOP đạt chuẩn 3–5 sao của tỉnh Trà Vinh, đặt tại Trung tâm Xúc tiến Thương mại tỉnh trên đường Lê Lợi.",Y,ENTITY_FOUND_NOT_CLAIM_VERIFIED,https://www.facebook.com/people/Cửa-hàng-OCOP-đặc-sản-Trà-Vinh/100087870463216/
cua-hang-ocop-tra-vinh-trung-tam-xuc-tien-thuong-mai-tinh-tra-vinh,attraction,tra-vinh,named_fact+ocop,"{""shop_type"": ""cửa hàng OCOP"", ""address"": ""Số 10 Lê Lợi, Phường 1, TP.",Y,ENTITY_FOUND_NOT_CLAIM_VERIFIED,https://www.facebook.com/people/Cửa-hàng-OCOP-đặc-sản-Trà-Vinh/100087870463216/
cua-hang-ocop-tra-vinh-trung-tam-xuc-tien-thuong-mai-tinh-tra-vinh,attraction,tra-vinh,measurement+hours+named_fact+ocop,"Trà Vinh"", ""hours"": ""07:30–17:00 (thứ Hai - thứ Sáu)"", ""what_to_buy"": ""Sản phẩm OCOP 3-4 sao: trà mãng cầu, tôm khô, mắm cá linh, gạo Huyết Rồng, muối hạt Duyên Hải, bánh tráng phơi sương"", ""price_range"": ""30.000–300.000 đ"", ""payment_methods"": ""tiền mặt/QR""...",Y,ENTITY_FOUND_NOT_CLAIM_VERIFIED,https://www.facebook.com/people/Cửa-hàng-OCOP-đặc-sản-Trà-Vinh/100087870463216/
cua-hang-dac-san-mien-tay-tra-vinh-tra-vinh,attraction,tra-vinh,named_fact,"{""shop_type"": ""cửa hàng đặc sản"", ""address"": ""Đường Nguyễn Đáng, Phường 3, TP.",Y,ENTITY_FOUND_NOT_CLAIM_VERIFIED,https://dacsanmientay.vn/net-duyen-tham-cua-thanh-pho-tra-vinh/
cua-hang-dac-san-mien-tay-tra-vinh-tra-vinh,attraction,tra-vinh,measurement+hours,"Trà Vinh"", ""hours"": ""07:00–20:00 hàng ngày"", ""what_to_buy"": ""Mật ong rừng U Minh, rượu nếp than, muối tôm, bánh phồng sữa, dừa sáp Cầu Kè (khô và tươi đóng gói), kẹo dừa"", ""price_range"": ""40.000–400.000 đ"", ""payment_methods"": ""tiền mặt/QR"", ""category"": ""sho...",Y,ENTITY_FOUND_NOT_CLAIM_VERIFIED,https://dacsanmientay.vn/net-duyen-tham-cua-thanh-pho-tra-vinh/
cho-dem-tra-vinh-pho-di-bo-hung-vuong-tra-vinh,attraction,tra-vinh,named_fact,"Khu vực quy tụ các gian hàng ẩm thực đường phố, quà lưu niệm văn hóa Khmer, bánh dân gian và đồ thủ công mỹ nghệ — không gian sôi động để khám phá đời sống về đêm của thành phố.",Y,ENTITY_FOUND_NOT_CLAIM_VERIFIED,https://khamphamientay.vn/buoi-toi-o-tra-vinh-co-gi-nen-di-dau-lam-gi-7995.html
cho-dem-tra-vinh-pho-di-bo-hung-vuong-tra-vinh,attraction,tra-vinh,measurement+hours+named_fact,"Trà Vinh"", ""hours"": ""18:00–23:00 (thứ Sáu, thứ Bảy, Chủ nhật)"", ""what_to_buy"": ""Quà lưu niệm văn hóa Khmer, bánh dân gian, đồ thủ công mỹ nghệ, đặc sản ăn liền, tranh ảnh Trà Vinh, vải thổ cẩm Khmer"", ""price_range"": ""20.000–300.000 đ"", ""payment_methods"": ""t...",Y,ENTITY_FOUND_NOT_CLAIM_VERIFIED,https://khamphamientay.vn/buoi-toi-o-tra-vinh-co-gi-nen-di-dau-lam-gi-7995.html
bao-tang-ben-tre,attraction,ben-tre,measurement,"Bảo tàng Bến Tre Tọa lạc trên khuôn viên 20.000m² từng là dinh Tỉnh trưởng thời Pháp thuộc, Bảo tàng Bến Tre lưu giữ hơn 15.000 hiện vật kể chuyện vùng đất dừa qua từng thời kỳ lịch sử.",Y,ENTITY_FOUND_NOT_CLAIM_VERIFIED,https://yootek.vn/bao-tang-ben-tre/
bao-tang-ben-tre,attraction,ben-tre,measurement,"Tọa lạc trên khuôn viên 20.000m² từng là dinh Tỉnh trưởng thời Pháp thuộc, Bảo tàng Bến Tre lưu giữ hơn 15.000 hiện vật kể chuyện vùng đất dừa qua từng thời kỳ lịch sử.",Y,ENTITY_FOUND_NOT_CLAIM_VERIFIED,https://yootek.vn/bao-tang-ben-tre/
bao-tang-ben-tre,attraction,ben-tre,named_fact,Bước vào đây là bước vào ký ức của xứ cù lao — từ những công cụ lao động thô mộc của người nông dân miệt vườn đến hiện vật kháng chiến hào hùng của 'Đội quân tóc dài' Bến Tre.,Y,ENTITY_FOUND_NOT_CLAIM_VERIFIED,https://yootek.vn/bao-tang-ben-tre/
bao-tang-ben-tre,attraction,ben-tre,named_fact,Không gian cây xanh thoáng mát bao quanh giúp chuyến tham quan trở nên thư thái.,Y,ENTITY_FOUND_NOT_CLAIM_VERIFIED,https://yootek.vn/bao-tang-ben-tre/
bao-tang-ben-tre,attraction,ben-tre,named_fact,Ghé buổi sáng để có trọn 2 tiếng khám phá yên tĩnh trước khi nắng lên.,Y,ENTITY_FOUND_NOT_CLAIM_VERIFIED,https://yootek.vn/bao-tang-ben-tre/
bao-tang-ben-tre,attraction,ben-tre,measurement+hours,"{""address"": ""Số 146 đường Hùng Vương, phường An Hội, Thành phố Bến Tre, tỉnh Bến Tre"", ""hours"": ""7:30–11:30 và 13:30–16:30, Thứ 2 - Thứ 6"", ""fee"": ""50.000đ người lớn, 20.000đ trẻ em"", ""admission"": ""Người lớn: 50.000 VNĐ",Y,ENTITY_FOUND_NOT_CLAIM_VERIFIED,https://yootek.vn/bao-tang-ben-tre/
bao-tang-ben-tre,attraction,ben-tre,measurement,"Trẻ em cao trên 1,2m: 20.000 VNĐ",Y,ENTITY_FOUND_NOT_CLAIM_VERIFIED,https://yootek.vn/bao-tang-ben-tre/
bao-tang-ben-tre,attraction,ben-tre,measurement+hours,"Trẻ em cao dưới 1,2m: miễn phí"", ""best_time"": ""Buổi sáng sớm (7:00 – 10:00) để tránh nắng",Y,ENTITY_FOUND_NOT_CLAIM_VERIFIED,https://yootek.vn/bao-tang-ben-tre/
bao-tang-ben-tre,attraction,ben-tre,year+measurement+season/date+named_fact,"tránh mùa mưa tháng 9-11 khi khu ngoài trời bị ảnh hưởng"", ""key_facts"": [""Thành lập năm 1981, diện tích khuôn viên khoảng 20.000m², tọa lạc trên nền dinh Tỉnh trưởng cũ thời Pháp thuộc"", ""Chứa Di tích quốc gia 'Nơi ở và hoạt động của Đại tá Phạm Ngọc Thảo' ...",Y,ENTITY_FOUND_NOT_CLAIM_VERIFIED,https://yootek.vn/bao-tang-ben-tre/
bao-tang-ben-tre,attraction,ben-tre,phone+named_fact,"tổ chức giao lưu đờn ca tài tử tại Nhà Dừa""], ""phone"": ""02753822735"", ""booking_note"": ""Không cần đặt trước",Y,ENTITY_FOUND_NOT_CLAIM_VERIFIED,https://yootek.vn/bao-tang-ben-tre/
bao-tang-ben-tre,attraction,ben-tre,hours+named_fact,"mở cửa tất cả các ngày trong tuần kể cả cuối tuần"", ""season_note"": ""Mùa khô, ít mưa, đi lại dễ, tham quan trong nhà thoải mái không lo ngập úng"", ""peak_event"": ""Các triển lãm chuyên đề dịp 30/4 và Tết Nguyên Đán"", ""travel_tip"": ""Đến trước 8h30 vào buổi sáng...",Y,ENTITY_FOUND_NOT_CLAIM_VERIFIED,https://yootek.vn/bao-tang-ben-tre/
nha-tho-chanh-toa-tra-vinh-tra-vinh,attraction,tra-vinh,named_fact,Nhà thờ Chánh tòa Trà Vinh (Nhà thờ Mẹ Vô Nhiễm) Tôn giáo: Công giáo (Giáo phận Vĩnh Long).,Y,ENTITY_FOUND_NOT_CLAIM_VERIFIED,https://donatourist.com/tour-tra-vinh-di-nha-trang-cung-team-building-tham-quan-doc-let-3-n-3-d
nha-tho-chanh-toa-tra-vinh-tra-vinh,attraction,tra-vinh,year,Thành lập: 1885.,Y,ENTITY_FOUND_NOT_CLAIM_VERIFIED,https://donatourist.com/tour-tra-vinh-di-nha-trang-cung-team-building-tham-quan-doc-let-3-n-3-d
nha-tho-chanh-toa-tra-vinh-tra-vinh,attraction,tra-vinh,measurement+named_fact,"Kiến trúc Gothic thuộc địa Pháp, tháp chuông đôi cao 30m, cửa sổ kính màu nhập từ Pháp, vòm cuốn nhọn, mặt tiền đá granit xám.",Y,ENTITY_FOUND_NOT_CLAIM_VERIFIED,https://donatourist.com/tour-tra-vinh-di-nha-trang-cung-team-building-tham-quan-doc-let-3-n-3-d
nha-tho-chanh-toa-tra-vinh-tra-vinh,attraction,tra-vinh,named_fact,Tôn giáo: Công giáo (Giáo phận Vĩnh Long).,Y,ENTITY_FOUND_NOT_CLAIM_VERIFIED,https://donatourist.com/tour-tra-vinh-di-nha-trang-cung-team-building-tham-quan-doc-let-3-n-3-d
nha-tho-chanh-toa-tra-vinh-tra-vinh,attraction,tra-vinh,year,Thành lập: 1885.,Y,ENTITY_FOUND_NOT_CLAIM_VERIFIED,https://donatourist.com/tour-tra-vinh-di-nha-trang-cung-team-building-tham-quan-doc-let-3-n-3-d
nha-tho-chanh-toa-tra-vinh-tra-vinh,attraction,tra-vinh,measurement+named_fact,"Kiến trúc Gothic thuộc địa Pháp, tháp chuông đôi cao 30m, cửa sổ kính màu nhập từ Pháp, vòm cuốn nhọn, mặt tiền đá granit xám.",Y,ENTITY_FOUND_NOT_CLAIM_VERIFIED,https://donatourist.com/tour-tra-vinh-di-nha-trang-cung-team-building-tham-quan-doc-let-3-n-3-d
nha-tho-chanh-toa-tra-vinh-tra-vinh,attraction,tra-vinh,year+measurement+hours+named_fact,"{""stream"": ""religious"", ""category"": ""religious"", ""religion"": ""Công giáo (Giáo phận Vĩnh Long)"", ""founding_year"": ""1885"", ""architecture_style"": ""Kiến trúc Gothic thuộc địa Pháp, tháp chuông đôi cao 30m, cửa sổ kính màu nhập từ Pháp, vòm cuốn nhọn, mặt tiền đ...",Y,ENTITY_FOUND_NOT_CLAIM_VERIFIED,https://donatourist.com/tour-tra-vinh-di-nha-trang-cung-team-building-tham-quan-doc-let-3-n-3-d
nha-tho-chanh-toa-tra-vinh-tra-vinh,attraction,tra-vinh,hours,"lễ sáng 05:30 và 17:30"", ""annual_festival"": ""Lễ Giáng Sinh (24–25/12), Lễ Đức Mẹ Vô Nhiễm (8/12), Phục Sinh"", ""coords_approximate"": true, ""schema_type"": ""TouristAttraction"", ""address"": ""Phường Trà Vinh, Trà Vinh"", ""sub_category"": ""church""}",Y,ENTITY_FOUND_NOT_CLAIM_VERIFIED,https://donatourist.com/tour-tra-vinh-di-nha-trang-cung-team-building-tham-quan-doc-let-3-n-3-d
chua-vam-ray,attraction,tra-vinh,named_fact,"Chùa Vàm Ray (Wath Vam Ray) là ngôi chùa Khmer lớn nhất Trà Vinh và cả ĐBSCL, tọa lạc tại xã Hàm Tân, huyện Trà Cú.",Y,ENTITY_FOUND_NOT_CLAIM_VERIFIED,https://dulichbinhminh.com/chua-vam-ray
chua-vam-ray,attraction,tra-vinh,measurement,"Kiến trúc Khmer nguy nga, chánh điện rộng 50m × 22m, trang trí nổi bật với rắn thần Naga, Kinnari và phù điêu kể chuyện đời Phật.",Y,ENTITY_FOUND_NOT_CLAIM_VERIFIED,https://dulichbinhminh.com/chua-vam-ray
chua-vam-ray,attraction,tra-vinh,year,"Tốn 50 tỷ đồng xây dựng, khánh thành 2010.",Y,ENTITY_FOUND_NOT_CLAIM_VERIFIED,https://dulichbinhminh.com/chua-vam-ray
chua-vam-ray,attraction,tra-vinh,named_fact,"Chùa Vàm Ray (Wath Vam Ray) là ngôi chùa Khmer lớn nhất Trà Vinh và cả ĐBSCL, tọa lạc tại xã Hàm Tân, huyện Trà Cú.",Y,ENTITY_FOUND_NOT_CLAIM_VERIFIED,https://dulichbinhminh.com/chua-vam-ray
chua-vam-ray,attraction,tra-vinh,measurement,"Kiến trúc Khmer nguy nga, chánh điện rộng 50m × 22m, trang trí nổi bật với rắn thần Naga, Kinnari và phù điêu kể chuyện đời Phật.",Y,ENTITY_FOUND_NOT_CLAIM_VERIFIED,https://dulichbinhminh.com/chua-vam-ray
chua-vam-ray,attraction,tra-vinh,year,"Tốn 50 tỷ đồng xây dựng, khánh thành 2010.",Y,ENTITY_FOUND_NOT_CLAIM_VERIFIED,https://dulichbinhminh.com/chua-vam-ray
chua-vam-ray,attraction,tra-vinh,hours+named_fact,"{""hours"": ""6:00–18:00"", ""admission"": ""Miễn phí"", ""type"": ""chùa Khmer lớn nhất ĐBSCL"", ""schema_type"": ""TouristAttraction"", ""address"": ""Xã Trà Cú, Trà Vinh"", ""sub_category"": ""pagoda""}",Y,ENTITY_FOUND_NOT_CLAIM_VERIFIED,https://dulichbinhminh.com/chua-vam-ray
vinh-long-1-day-backpacker,itinerary,vinh-long,hours,"Vĩnh Long 1 ngày – Cù lao + Chợ nổi Hành trình 1 ngày backpacker từ TP.HCM đến Vĩnh Long: xuất phát 5h sáng, qua phà Đình Khao, khám phá cù lao Bình Hòa Phước, vườn trái cây, đò chèo kênh rạch, gốm Mang Thít và chợ nổi Cái Bè.",Y,ENTITY_FOUND_NOT_CLAIM_VERIFIED,https://ongvove.com/tour/tour-du-lich-1-ngay-tai-vinh-long
vinh-long-1-day-backpacker,itinerary,vinh-long,measurement+hours,"Tổng chi phí khoảng 350.000–450.000 VNĐ/người, về lại TP.HCM trước 21h.",Y,ENTITY_FOUND_NOT_CLAIM_VERIFIED,https://ongvove.com/tour/tour-du-lich-1-ngay-tai-vinh-long
vinh-long-1-day-backpacker,itinerary,vinh-long,named_fact,"Phù hợp khách ưa trải nghiệm thực tế, không cần đặt tour.",Y,ENTITY_FOUND_NOT_CLAIM_VERIFIED,https://ongvove.com/tour/tour-du-lich-1-ngay-tai-vinh-long
vinh-long-1-day-backpacker,itinerary,vinh-long,hours,"Hành trình 1 ngày backpacker từ TP.HCM đến Vĩnh Long: xuất phát 5h sáng, qua phà Đình Khao, khám phá cù lao Bình Hòa Phước, vườn trái cây, đò chèo kênh rạch, gốm Mang Thít và chợ nổi Cái Bè.",Y,ENTITY_FOUND_NOT_CLAIM_VERIFIED,https://ongvove.com/tour/tour-du-lich-1-ngay-tai-vinh-long
vinh-long-1-day-backpacker,itinerary,vinh-long,measurement+hours,"Tổng chi phí khoảng 350.000–450.000 VNĐ/người, về lại TP.HCM trước 21h.",Y,ENTITY_FOUND_NOT_CLAIM_VERIFIED,https://ongvove.com/tour/tour-du-lich-1-ngay-tai-vinh-long
vinh-long-1-day-backpacker,itinerary,vinh-long,named_fact,"Phù hợp khách ưa trải nghiệm thực tế, không cần đặt tour.",Y,ENTITY_FOUND_NOT_CLAIM_VERIFIED,https://ongvove.com/tour/tour-du-lich-1-ngay-tai-vinh-long
