area,group,name,priority,season,culture,experience,tour,risk,corpus,official
"Vĩnh Long","Địa điểm","Cù lao An Bình - Long Hồ","A","Quanh năm; đẹp nhất mùa trái cây và dịp cuối tuần","Không gian cư trú ven sông Tiền, vườn cây ăn trái, nhà vườn, homestay và nếp sống miệt vườn.","Đi ghe/đò, đạp xe, vườn trái cây, bữa cơm nhà vườn, nghe đờn ca tài tử, nghỉ homestay.","Làm điểm mở đầu cho tuyến “sông nước - gốm đỏ - xứ dừa/Khmer”.","Dễ cũ nếu chỉ lặp lại mô-típ vườn cây; cần nâng chất kể chuyện, vệ sinh, an toàn đường thủy.","https://baovinhlong.com.vn/xa-hoi/du-lich/202602/song-nuoc-miet-vuon-an-binh-giu-chan-du-khach-c180357/","https://vinhlong.gov.vn/du-khach/%C4%91iem-du-lich"
"Vĩnh Long","Địa điểm/Làng nghề","Khu lò gạch, gốm Mang Thít","A","Quanh năm; phù hợp sáng sớm/chiều muộn, tour ảnh","Di sản nghề gạch gốm ven sông, ký ức sản xuất và cảnh quan lò gạch đặc thù.","Tham quan lò gạch, workshop gốm, chụp ảnh, kể chuyện làng nghề, tuyến đêm ánh sáng gốm.","Ghép với An Bình, Bảo tàng Nông nghiệp, đường sông Cổ Chiên.","Cần quản trị an toàn công trình cũ, giao thông nội bộ, quyền lợi cộng đồng và tránh biến thành điểm check-in đơn thuần.","https://baovinhlong.com.vn/phong-su-ky-su/202604/phat-trien-san-pham-du-lich-dac-thu-tu-lang-nghe-gach-gom-7f54c8b/","https://vinhlong.gov.vn/du-khach/di-tich-lich-su"
"Vĩnh Long","Di tích/Văn hóa","Văn Thánh Miếu","A-","Lễ Xuân Đinh, sự kiện giáo dục - văn hóa","Một trục Nho học - ký ức đô thị Nam Bộ, có giá trị giáo dục, lễ nghi và lịch sử địa phương.","Tham quan di tích, lễ hội Xuân Đinh, giáo dục trải nghiệm, tour học đường.","Ghép với trung tâm Vĩnh Long, bảo tàng, ẩm thực, đường gốm.","Cần diễn giải dễ hiểu cho khách trẻ; tránh chỉ là điểm thắp hương/chụp ảnh.","https://baovinhlong.com.vn/van-hoa-giai-tri/202603/le-xuan-dinh-net-dep-van-hoa-tai-di-tich-van-thanh-mieu-2023470/","https://vinhlong.gov.vn/du-khach/di-tich-lich-su"
"Vĩnh Long","Di tích/Lễ hội","Lăng Ông Trà Ôn - Nguyễn Văn Tồn","A","Mùng 3-4 tháng Giêng âm lịch; các ngày giỗ phụ trong năm","Giao thoa Việt - Hoa - Khmer, tín ngưỡng tiền hiền/phúc thần, hát bội, nhạc ngũ âm và lễ cầu phước đầu xuân.","Du xuân, hành hương, xem nghi lễ, hát bội/múa lân/nhạc Khmer, kết hợp chợ quê Trà Ôn.","Tạo tour Tết/Lễ hội đầu năm nối Trà Ôn - Cầu Kè - Cổ Chiên.","Cần tách rõ nghi lễ cộng đồng và trải nghiệm du khách; quản trị đông khách dịp Tết.","https://baovinhlong.com.vn/van-hoa-giai-tri/202601/to-chuc-dat-cay-uoc-nguyen-tai-lang-ong-4d140e2/","https://vinhlong.gov.vn/LinkClick.aspx?fileticket=6imoU-cmqnY%3D&mid=10814&portalid=0&tabid=63"
"Vĩnh Long","Đường thủy","Sông Cổ Chiên - tuyến du lịch đường sông","A","Quanh năm, tránh thời tiết xấu/mưa lớn","Dòng sông là hạ tầng văn hóa của cư dân: chợ, vườn, nghề, đình miếu, giao thương.","Famtrip/tuyến đường sông, ngắm cảnh, ghé cù lao, làng nghề, bữa ăn ven sông.","Xương sống nối Vĩnh Long - Trà Vinh - Bến Tre theo mô-típ “từ sông ra biển”.","An toàn phương tiện, bến bãi, vệ sinh và lịch vận hành là điều kiện sống còn.","https://baovinhlong.com.vn/xa-hoi/du-lich/202603/diem-nhan-hap-dan-du-lich-duong-thuy-28331ea/",""
"Trà Vinh","Địa điểm/Di tích","Ao Bà Om - Chùa Âng - Bảo tàng Khmer","A+","Quanh năm; cao điểm Ok Om Bok và du xuân","Cụm biểu tượng Khmer: danh thắng Ao Bà Om, chùa Âng, bảo tàng văn hóa Khmer, truyền thuyết đào ao và sinh hoạt lễ hội.","Tham quan cảnh quan cổ thụ, chùa, bảo tàng, chụp ảnh, học văn hóa Khmer, ẩm thực quanh điểm.","Trục bắt buộc của tuyến Trà Vinh; ghép với Chùa Hang, Cầu Kè, Ba Động.","Dễ quá tải mùa lễ hội; cần diễn giải văn hóa tôn trọng không gian tôn giáo.","https://baovinhlong.com.vn/phong-su-anh/202602/thang-canh-ao-ba-om-thu-hut-khach-du-xuan-3db0b58/","https://vietnamtourism.gov.vn/post/60328"
"Trà Vinh","Địa điểm/Sinh thái","Chùa Hang - Kompong Chrây","A","Quanh năm; tốt cho tour ảnh thiên nhiên","Chùa Khmer gắn với rừng cây, đàn chim/cò và không gian tu học, tạo giao điểm giữa tâm linh và sinh thái.","Tham quan chùa, ngắm chim/cò, chụp ảnh, tìm hiểu kiến trúc Khmer.","Ghép với Ao Bà Om - Bảo tàng Khmer thành tour nửa ngày văn hóa Khmer.","Cần bảo vệ sinh cảnh chim, kiểm soát tiếng ồn và hành vi chụp ảnh.","https://baovinhlong.com.vn/phong-su-anh/202606/chum-anh-ngam-dan-co-trang-tao-hinh-song-dong-o-chua-hang-24a6cff/","https://vinhlong.gov.vn/du-khach/di-tich-lich-su"
"Trà Vinh","Địa điểm/Biển","Biển Ba Động - Trường Long Hòa","A","Tết, hè, bình minh/sáng sớm; tour phototrip","Biển miền Tây, làng chài, hàng dương, hải sản, không gian ven biển và kinh tế biển.","Ngắm bình minh, biển, hải sản, ảnh cảnh quan, kết hợp điện gió/ven biển nếu phù hợp.","Điểm “ra biển” trong hành trình sông - vườn - Khmer - biển.","Cần nâng chất vệ sinh, dịch vụ, an toàn tắm biển, sản phẩm buổi tối.","https://baovinhlong.com.vn/van-hoa-giai-tri/202605/hang-may-anh-canon-chon-bien-ba-dong-to-chuc-hoi-thaochia-se-ve-kien-thuc-nhiep-anh-d191781/","https://vietnamtourism.gov.vn/post/38054"
"Trà Vinh","Bảo tàng/Đặc sản","Bảo tàng Dừa sáp Trà Vinh - Cầu Kè/Tam Ngãi","A","Quanh năm; hợp với tour học đường, ẩm thực, OCOP","Câu chuyện dừa sáp, Hòa thượng Thạch Sô, giao thoa Kinh - Khmer - Hoa và bản địa hóa một sản vật quý.","Tham quan bảo tàng, nếm sản phẩm dừa sáp, kể chuyện đặc sản, mua sản phẩm chế biến.","Ghép với Cầu Kè, Vu lan Thắng hội, Ao Bà Om hoặc tuyến Đông sông Hậu.","Cần tránh biến bảo tàng thành điểm bán hàng; cần tour diễn giải và trải nghiệm có chiều sâu.","https://baovinhlong.com.vn/xa-hoi/du-lich/202512/cong-nhan-bao-tang-dua-sap-tra-vinh-diem-du-lich-tieu-bieu-dbscl-52d0937/","https://vinhlong.gov.vn/LinkClick.aspx?fileticket=xVhEJJDndl0%3D&mid=10814&portalid=0&tabid=63"
"Trà Vinh","Lễ hội","Ok Om Bok","A+","Rằm tháng 10 âm lịch; thường tổ chức thành tuần lễ văn hóa - thể thao - du lịch","Lễ cúng Trăng của đồng bào Khmer Nam Bộ, gắn Ao Bà Om, trò chơi dân gian, nghệ thuật Khmer và đua ghe Ngo.","Tham dự không gian lễ hội, ẩm thực, biểu diễn, hội chợ, đua ghe, tìm hiểu nghi lễ cúng trăng.","Sản phẩm mùa lễ hội quan trọng nhất của Trà Vinh; nên bán trước 60-90 ngày.","Cần giữ vai trò chủ thể cộng đồng Khmer; kiểm soát thương mại hóa và quá tải.","https://baovinhlong.com.vn/phong-su-anh/202511/dac-sac-dem-hoi-ok-om-bok-4aa14cb/","https://vietnamtourism.gov.vn/post/15419"
