segment_id,segment,profile,motivation,best_assets,trip_length,needs
"SEG01","Khách TP.HCM cuối tuần","25-55, gia đình/nhóm bạn","Đi gần, dễ mua, ăn ngon, có ảnh đẹp","Cồn Phụng, An Bình, Chợ Lách, Lan Vương","1 ngày/2N1Đ","Giá rõ, không quá tải, vệ sinh, trẻ em an toàn"
"SEG02","Gia đình có trẻ em","Cha mẹ 30-45, trẻ 5-15","Trải nghiệm nhẹ, học được điều mới","An Bình, Cồn Phụng, Lan Vương, Chợ Lách, Bảo tàng Dừa sáp","1 ngày/2N1Đ","Nhà vệ sinh, bóng mát, an toàn sông nước"
"SEG03","Học sinh - sinh viên","Trường học, CLB, đoàn thể","Giáo dục di sản, nghề, sinh thái, kỹ năng","Mang Thít, Văn Thánh Miếu, Ao Bà Om, Bảo tàng Khmer, Nguyễn Thị Định","1-3 ngày","Kịch bản học tập, thuyết minh, worksheet"
"SEG04","Khách quốc tế Mekong","Âu-Mỹ-Úc/Đông Bắc Á","Local life, river, craft, culture, food","Cồn Phụng, An Bình, Mang Thít, Ao Bà Om, Chùa Hang","2-4 ngày","Song ngữ, authenticity, hygiene, low hassle"
"SEG05","Khách nhiếp ảnh/content creator","18-40","Hình ảnh độc, bình minh/hoàng hôn, câu chuyện viral","Mang Thít, Ba Động, Ao Bà Om, Chùa Hang, Chợ Lách, Ba Tri","1-3 ngày","Góc chụp, giờ đẹp, permission, drone rules"
"SEG06","Khách lễ hội/tâm linh","Gia đình, người lớn tuổi, cộng đồng diaspora","Cầu an, dự lễ, tìm cội nguồn","Ok Om Bok, Lăng Ông Trà Ôn, Nguyên Tiêu, Vu lan, Kỳ Yên","Theo mùa","Thông tin lịch chính xác, ứng xử nghi lễ"
"SEG07","Foodie/ẩm thực","20-45","Món địa phương, cooking class, chợ quê","Ẩm thực ba vùng, dừa sáp, xứ Dừa, bánh tét, bún nước lèo","Nửa ngày-3 ngày","Vệ sinh, câu chuyện món, định giá"
"SEG08","Khách xanh/chậm/homestay","25-60","Ở lại lâu hơn, cộng đồng, ít đông","An Bình, Hòa Minh, Phú Túc, Cồn Chim/Hô","2-4 ngày","Chất lượng homestay, môi trường, lịch trình mềm"
"SEG09","MICE nhỏ/team building","Doanh nghiệp nhỏ/đoàn hội","Dễ vận hành, vui, có workshop, ăn uống tốt","Lan Vương, Cồn Phụng, An Hội, Chợ Lách","1-2 ngày","Bãi xe, phòng họp, điều phối, bảo hiểm"
"SEG10","Khách nghiên cứu/văn hóa sâu","Nhà nghiên cứu, curator, du khách học thuật","Di sản, dân tộc học, nghệ nhân, tư liệu","Khmer Trà Vinh, Rô-băm, Mang Thít, Lăng Ông, Văn Thánh Miếu","3-5 ngày","Tiếp cận chuyên gia, cộng đồng, tư liệu"
